id,emp id,core comp,categ,tool_cap,skills,exp,Level,cert,interest,
7820,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Data Strategy,2,7,2,1 - Develop,2
7821,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Corporate Strategy,2,7,2,1 - Develop,2
7822,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Competitive Strategy,2,7,2,1 - Develop,2
7823,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Business Case Writing,2,7,2,1 - Develop,2
7824,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Product Development,1,7,2,1 - Develop,2
7825,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Project Management,1,7,2,0 - Avoid,2
7826,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Program Management ,1,7,2,0 - Avoid,2
7827,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Financial Analysis (DCF, NPV, ROI, Cost Benefit Analysis, Market Research)",2,6,2,1 - Develop,2
7828,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Sensitivity Analysis,3,6,2,1 - Develop,2
7829,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership","Go to Market (GTM Strategy, Outreach, RFP Response, SOW writing, Relationship Mgmt., Salesforce)",2,6,2,1 - Develop,2
7830,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Orals Experience,3,6,2,,2
7831,78,CORE CONSULTING,1,"Core Consulting, Finance, Leadership",Recruiting,2,7,2,0 - Avoid,2
7832,78,CORE CONSULTING,1,Functional Experience,Public Speaking,1,8,2,1 - Develop,2
7833,78,CORE CONSULTING,1,Functional Experience,Product Management ,1,8,1,3 - Accelerate,2
7834,78,CORE CONSULTING,1,Functional Experience,Sales & Marketing,2,6,2,1 - Develop,2
7835,78,CORE CONSULTING,1,Functional Experience,Project Management,1,7,1,0 - Avoid,2
7836,78,CORE CONSULTING,1,Functional Experience,Dev Ops,1,8,2,2 - Engage,2
7837,78,CORE CONSULTING,1,Functional Experience,Finance,3,6,2,1 - Develop,2
7838,78,CORE CONSULTING,1,Functional Experience,Operations,3,6,2,0 - Avoid,2
7839,78,CORE CONSULTING,1,Functional Experience,HR,3,6,2,0 - Avoid,2
7840,78,CORE CONSULTING,1,Functional Experience,Supply Chain & Inventory Management,3,6,2,1 - Develop,2
7841,78,CORE CONSULTING,1,Industry Vertical Experience,High Tech,1,8,2,2 - Engage,2
7842,78,CORE CONSULTING,1,Industry Vertical Experience,Financial Services,3,6,2,1 - Develop,2
7843,78,CORE CONSULTING,1,Industry Vertical Experience,Communications / Telecom,1,8,2,2 - Engage,2
7844,78,CORE CONSULTING,1,Industry Vertical Experience,Retail,1,7,2,1 - Develop,2
7845,78,CORE CONSULTING,1,Industry Vertical Experience,Healthcare & Life Sciences,3,6,2,1 - Develop,2
7846,78,CORE CONSULTING,1,Industry Vertical Experience,Media & Entertainment,3,6,2,1 - Develop,2
7847,78,CORE CONSULTING,1,Industry Vertical Experience,Manufacturing,3,6,2,0 - Avoid,2
7848,78,CORE CONSULTING,1,Industry Vertical Experience,PubSec,3,6,2,0 - Avoid,2
7849,78,CORE CONSULTING,1,Education,MBA,,,2,,2
7850,78,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
7851,78,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
7852,78,CORE CONSULTING,1,Education,<OTHER HERE>,,,2,,2
7853,78,PROGRAM MANAGEMENT,3,General,PMO,,,2,,2
7854,78,PROGRAM MANAGEMENT,3,General,Cross functional delivery management,,,2,,2
7855,78,PROGRAM MANAGEMENT,3,General,Organizational structure definition,,,2,,2
7856,78,PROGRAM MANAGEMENT,3,General,Process definition and improvement,,,2,,2
7857,78,PROGRAM MANAGEMENT,3,General,Risk management,,,2,,2
7858,78,PROGRAM MANAGEMENT,3,General,Communications management,,,2,,2
7859,78,PROGRAM MANAGEMENT,3,General,Project Management Structure ,,,2,,2
7860,78,PROGRAM MANAGEMENT,3,General,Program Documentation and Planning,,,2,,2
7861,78,PROGRAM MANAGEMENT,3,General,Technical Project Management,,,2,,2
7862,78,PROGRAM MANAGEMENT,3,General,RFP Development and Execution,,,2,,2
7863,78,PROGRAM MANAGEMENT,3,General,Budget Management ,,,2,,2
7864,78,PROGRAM MANAGEMENT,3,Execution Experience ,Kanban method,,,2,,2
7865,78,PROGRAM MANAGEMENT,3,Execution Experience ,Waterfall,,,2,,2
7866,78,PROGRAM MANAGEMENT,3,Execution Experience ,Water-gile (hybrid),,,2,,2
7867,78,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (delivery role),,,2,,2
7868,78,PROGRAM MANAGEMENT,3,Execution Experience ,Offshore Delivery Model Experience (leadership role),,,2,,2
7869,78,PROGRAM MANAGEMENT,3,Execution Experience ,<OTHER HERE>,,,2,,2
7870,78,PROGRAM MANAGEMENT,3,Project Management Suites,VersionOne,,,2,,2
7871,78,PROGRAM MANAGEMENT,3,Project Management Suites,Microsoft Project,,,2,,2
7872,78,PROGRAM MANAGEMENT,3,Project Management Suites,JIRA,,,2,,2
7873,78,PROGRAM MANAGEMENT,3,Certifications,PMP / Project Management Professional,,,2,,2
7874,78,PROGRAM MANAGEMENT,3,Certifications,PMI - ACP,,,2,,2
7875,78,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
7876,78,PROGRAM MANAGEMENT,3,Certifications,<OTHER HERE>,,,2,,2
7877,78,Product Management ,1,General Tools ,Rally ,1,9,2,2 - Engage,2
7878,78,Product Management ,1,General Tools ,Slack,1,9,2,2 - Engage,2
7879,78,Product Management ,1,General Tools ,Asana,1,7,2,1 - Develop,2
7880,78,Product Management ,1,General Tools ,Trello ,1,8,2,2 - Engage,2
7881,78,Product Management ,1,General Tools ,<OTHER HERE>,,,2,,2
7882,78,Product Management ,1,Certifications ,SAFe Product Manager/Product Owner certification,1,9,1,2 - Engage,2
7883,78,Product Management ,1,Certifications ,SAFe Agilest,,,2,,2
7884,78,Product Management ,1,Certifications ,PMI - ACP,1,9,1,2 - Engage,2
7885,78,Product Management ,1,Certifications ,Certified Scrum Master/Product Owner,1,9,1,2 - Engage,2
7886,78,Product Management ,1,Certifications ,Certified Scrum Professional,,,2,,2
