id,empId,categ,dimension,value,Community_id
2369,117,My Personality,Climber,0.27,2
2370,117,My Personality,Dreamer,0.56,2
2371,117,My Personality,Purist,0.17,2
2372,117,My Satisfaction,Self,4,2
2373,117,My Satisfaction,Project,3,2
2374,117,My Satisfaction,Client,4,2
2375,117,My Satisfaction,Community,3,2
2376,117,My Satisfaction,Revel,4,2
2377,117,My Satisfaction,Career,4,2
2378,117,My Goals,My Goals,"I understand how to create, inspire, run, and launch a new product. I'd like to grow in data strategy, product management, research, and P&L.",2
2379,117,My Wins,My Wins,My impact to research and proposals on a few different projects. I enjoy not being at the client site everyday and trying out new projects for the first time.,2
2380,117,My Losses,My Losses,My initial customer journeys were missing some attributes or layers to the customer's experience on my first pass. I would look into more emotional insights to showcase next time.,2
2381,117,My Personal Brand,My Personal Brand,"Great listener, attentive, and  attention to detail.",2
2382,117,My Habits,Chameleon to Peacock,2,2
2383,117,My Habits,Gatherer to Hunter,3,2
2384,117,My Habits,Ambiguity to Structure,1,2
2385,117,My Habits,Introvert to Extrovert,2,2
2386,117,My Habits,Morning Lark to Night Owl,2,2
2387,117,My Habits,Evolution to Revolution,2,2
2388,117,My Habits,Script to Improv,4,2
2389,117,My Habits,Think to Do,3,2
2390,117,My Habits,Build to Improve,5,2
2391,117,My Motivations,Advancement,10th,2
2392,117,My Motivations,Autonomy,1st,2
2393,117,My Motivations,Work/Life Balance,4th,2
2394,117,My Motivations,Influencing,6th,2
2395,117,My Motivations,Mastery,7th,2
2396,117,My Motivations,Money,8th,2
2397,117,My Motivations,Praise,9th,2
2398,117,My Motivations,Problem,5th,2
2399,117,My Motivations,Purpose,2nd,2
2400,117,My Motivations,Relationships,3rd,2
2401,118,My Personality,Climber,0.41,2
2402,118,My Personality,Dreamer,0.41,2
2403,118,My Personality,Purist,0.18,2
2404,118,My Satisfaction,Self,4,2
2405,118,My Satisfaction,Project,3,2
2406,118,My Satisfaction,Client,4,2
2407,118,My Satisfaction,Community,3,2
2408,118,My Satisfaction,Revel,4,2
2409,118,My Satisfaction,Career,4,2
2410,118,My Goals,My Goals,"Client-based goals: continue to build and develop trust with direct clients and cross-functional clients by leading with empathy and providing stellar client service.
Associate-based goals: provide outstanding leadership to associates by leveraging high EQ.  Associate satisfaction is critically important to our org, and I feel I can have a significantly positive impact on that.
Organization-based goals: get fully immersed into the Transformation community so that I can ID the best spot for me to leverage my skills and provide exceptional value.  Work to develop advanced skills in the areas of business development/proposal development to help grow the community.
",2
2411,118,My Wins,My Wins,"-Successfully led a high-priority, high-visibility pilot project for client, launching successfully and early.
-Quickly developed exceptional relationships with a broad group of key stakeholders during management of the pilot.",2
2412,118,My Losses,My Losses,"-Lost steam with potential client on new project (SFDC), which could prove to be substantial growth opportunity.  Need to refocus energy on reengaging client.",2
2413,118,My Personal Brand,My Personal Brand,"-I thrive on developing/sustaining meaningful and trustful relationships with clients, coworkers, and leadership alike, and have the ability to do so at all levels of organizations.  My balance of high EQ and IQ allow me to connect hearts and minds, with a broad spectrum of experience.",2
2414,118,My Habits,Chameleon to Peacock,2,2
2415,118,My Habits,Gatherer to Hunter,4,2
2416,118,My Habits,Ambiguity to Structure,2,2
2417,118,My Habits,Introvert to Extrovert,5,2
2418,118,My Habits,Morning Lark to Night Owl,3,2
2419,118,My Habits,Evolution to Revolution,2,2
2420,118,My Habits,Script to Improv,4,2
2421,118,My Habits,Think to Do,4,2
2422,118,My Habits,Build to Improve,4,2
2423,118,My Motivations,Advancement,5th,2
2424,118,My Motivations,Autonomy,6th,2
2425,118,My Motivations,Work/Life Balance,3rd,2
2426,118,My Motivations,Influencing,8th,2
2427,118,My Motivations,Mastery,10th,2
2428,118,My Motivations,Money,4th,2
2429,118,My Motivations,Praise,9th,2
2430,118,My Motivations,Problem,7th,2
2431,118,My Motivations,Purpose,1st,2
2432,118,My Motivations,Relationships,2nd,2
2433,119,My Personality,Climber,0.58,2
2434,119,My Personality,Dreamer,0.13,2
2435,119,My Personality,Purist,0.27,2
2436,119,My Satisfaction,Self,5,2
2437,119,My Satisfaction,Project,4,2
2438,119,My Satisfaction,Client,4,2
2439,119,My Satisfaction,Community,3,2
2440,119,My Satisfaction,Revel,4,2
2441,119,My Satisfaction,Career,4,2
2442,119,My Goals,My Goals,"Continue to learn and build skills. I first strenthened vertically in Finance, and now focusing on breadth of skills horizontally. I still have a strong interest in Finance and Analytics. ",2
2443,119,My Wins,My Wins,"I created a dynamic launch timeline calculator and a tactical workback schedule for my client. I built out a brand new SharePoint for my client as a central repository for requirements and process docs, the team's playbook, and calendar.  I explored and documented important processes that my client did not have time to do.",2
2444,119,My Losses,My Losses,"The initial workback schedule I created for my client was too detailed, so I have been focusing on simplifying it so that it is more user-friendly for my client to use.",2
2445,119,My Personal Brand,My Personal Brand,"I have strong experience in Finance and Cost Accounting, which has made me strong in data analysis, critical thinking, and process improvement. I worked with my cross-functional teams and have a great get-along factor. I am a data junkie and an early adopter of new technology.",2
2446,119,My Habits,Chameleon to Peacock,3,2
2447,119,My Habits,Gatherer to Hunter,3,2
2448,119,My Habits,Ambiguity to Structure,4,2
2449,119,My Habits,Introvert to Extrovert,5,2
2450,119,My Habits,Morning Lark to Night Owl,5,2
2451,119,My Habits,Evolution to Revolution,4,2
2452,119,My Habits,Script to Improv,3,2
2453,119,My Habits,Think to Do,2,2
2454,119,My Habits,Build to Improve,4,2
2455,119,My Motivations,Advancement,8th,2
2456,119,My Motivations,Autonomy,6th,2
2457,119,My Motivations,Work/Life Balance,5th,2
2458,119,My Motivations,Influencing,7th,2
2459,119,My Motivations,Mastery,1st,2
2460,119,My Motivations,Money,9th,2
2461,119,My Motivations,Praise,10th,2
2462,119,My Motivations,Problem,3rd,2
2463,119,My Motivations,Purpose,2nd,2
2464,119,My Motivations,Relationships,4th,2
2465,120,My Personality,Climber,0.34,2
2466,120,My Personality,Dreamer,0.34,2
2467,120,My Personality,Purist,0.32,2
2468,120,My Satisfaction,Self,3,2
2469,120,My Satisfaction,Project,2,2
2470,120,My Satisfaction,Client,2,2
2471,120,My Satisfaction,Community,3,2
2472,120,My Satisfaction,Revel,3,2
2473,120,My Satisfaction,Career,4,2
2474,120,My Goals,My Goals,"An organization where I leverage a cross-functional level of skills: Client delivery, practice building and BD- emerging accounts ",2
2475,120,My Wins,My Wins,Delivering Leadership workshops,2
2476,120,My Losses,My Losses,Taking insights and pushing for a COE within an condense and aggressive timeline,2
2477,120,My Personal Brand,My Personal Brand,A strong Business Development advocate with the ability to connect the dots and execute projects ,2
2478,120,My Habits,Chameleon to Peacock,4,2
2479,120,My Habits,Gatherer to Hunter,4,2
2480,120,My Habits,Ambiguity to Structure,2,2
2481,120,My Habits,Introvert to Extrovert,4,2
2482,120,My Habits,Morning Lark to Night Owl,2,2
2483,120,My Habits,Evolution to Revolution,4,2
2484,120,My Habits,Script to Improv,4,2
2485,120,My Habits,Think to Do,3,2
2486,120,My Habits,Build to Improve,3,2
2487,120,My Motivations,Advancement,2nd,2
2488,120,My Motivations,Autonomy,4th,2
2489,120,My Motivations,Work/Life Balance,10th,2
2490,120,My Motivations,Influencing,7th,2
2491,120,My Motivations,Mastery,5th,2
2492,120,My Motivations,Money,3rd,2
2493,120,My Motivations,Praise,9th,2
2494,120,My Motivations,Problem,8th,2
2495,120,My Motivations,Purpose,1st,2
2496,120,My Motivations,Relationships,6th,2
2497,121,My Personality,Climber,0.5,2
2498,121,My Personality,Dreamer,0.15,2
2499,121,My Personality,Purist,0.34,2
2500,121,My Satisfaction,Self,5,2
2501,121,My Satisfaction,Project,5,2
2502,121,My Satisfaction,Client,5,2
2503,121,My Satisfaction,Community,5,2
2504,121,My Satisfaction,Revel,5,2
2505,121,My Satisfaction,Career,5,2
2506,121,My Goals,My Goals,"Continue to grow in my leadership experiences, and focus on strategic roles across retail and high tech.  Success to me is loving what I do, but also being in highly visible/impactful roles while managing large scopes of work and teams.",2
2507,121,My Wins,My Wins,"Transitioning to the field to work on the retail strategy project with Samsung.  Additionally, being able to continue and manage the Revel brand.  ",2
2508,121,My Losses,My Losses,na,2
2509,121,My Personal Brand,My Personal Brand,"I am customer-centric, educated, experienced, and overall excited about what I do.  I get energy from those that surround me, and make it my mission to give energy back to all those whom I interact with - wheather that be through personal experiences or brand development.  Additionally, I believe in the concept of always be learning. ",2
2510,121,My Habits,Chameleon to Peacock,5,2
2511,121,My Habits,Gatherer to Hunter,5,2
2512,121,My Habits,Ambiguity to Structure,3,2
2513,121,My Habits,Introvert to Extrovert,5,2
2514,121,My Habits,Morning Lark to Night Owl,1,2
2515,121,My Habits,Evolution to Revolution,3,2
2516,121,My Habits,Script to Improv,3,2
2517,121,My Habits,Think to Do,1,2
2518,121,My Habits,Build to Improve,1,2
2519,121,My Motivations,Advancement,2nd,2
2520,121,My Motivations,Autonomy,8th,2
2521,121,My Motivations,Work/Life Balance,9th,2
2522,121,My Motivations,Influencing,1st,2
2523,121,My Motivations,Mastery,7th,2
2524,121,My Motivations,Money,3rd,2
2525,121,My Motivations,Praise,5th,2
2526,121,My Motivations,Problem,10th,2
2527,121,My Motivations,Purpose,6th,2
2528,121,My Motivations,Relationships,4th,2
2529,122,My Personality,Climber,,2
2530,122,My Personality,Dreamer,,2
2531,122,My Personality,Purist,,2
2532,122,My Satisfaction,Self,,2
