id;emp_id;core_competency;tool_capability;category;skill;experience;level;certification;learning_interest;community
1926;47;CORE CONSULTING;1;Project Management Suites;VersionOne;3;;2;No;1
1927;47;CORE CONSULTING;1;Project Management Suites;MicrosoftProject;1;PROFICIENT;2;No;1
1928;47;CORE CONSULTING;1;Project Management Suites;JIRA;1;ADVANCED;2;No;1
1929;47;CORE CONSULTING;2;Project Management;PMP / Project Management Professional;1;MASTERY;1;No;1
1930;47;CORE CONSULTING;2;Project Management;CSM / Certified Scrum Master;1;MASTERY;1;No;1
1931;47;CORE CONSULTING;2;Project Management;Kanban method;1;MASTERY;2;No;1
1932;47;CORE CONSULTING;2;Project Management;Offshore Delivery Model Experience (delivery role);1;ADVANCED;2;No;1
1933;47;CORE CONSULTING;2;Project Management;Offshore Delivery Model Experience (leadership role);1;ADVANCED;2;No;1
1934;47;CORE CONSULTING;2;Project Management;Project Effort Estimation;1;ADVANCED;2;No;1
1935;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Data Strategy;3;;2;No;1
1936;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Corporate Strategy;3;;2;No;1
1937;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Competitive Strategy;2;PROFICIENT;2;No;1
1938;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Business Case Writing;2;PROFICIENT;2;No;1
1939;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Product Development;1;MASTERY;2;No;1
1940;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Financial Analysis (DCF NPV ROI Cost Benefit Analysis Market Research);3;;2;No;1
1941;47;CORE CONSULTING;2;Core Consulting, Finance, Leadership;Sensative Analysis;3;;2;No;1
1942;47;CORE CONSULTING;2;Project Management;Go to Market (GTM Strategy Outreach RFP Response SOW writing Relationship Mgmt Salesforce);1;ADVANCED;2;No;1
1943;47;CORE CONSULTING;2;Project Management;Oral Experience;3;;2;No;1
1944;47;CORE CONSULTING;2;Project Management;Recruiting;1;PROFICIENT;2;No;1
1945;47;CORE CONSULTING;2;Project Management;Public Speaking;3;;2;No;1
1946;47;CORE CONSULTING;2;Functional Experience;Product Management;1;MASTERY;2;No;1
1947;47;CORE CONSULTING;2;Functional Experience;Sales & Marketing;3;;2;No;1
1948;47;CORE CONSULTING;2;Functional Experience;Dev Ops;1;MASTERY;2;No;1
1949;47;CORE CONSULTING;2;Functional Experience;Finance;3;;2;No;1
1950;47;CORE CONSULTING;2;Functional Experience;Operations;3;;2;No;1
1951;47;CORE CONSULTING;2;Functional Experience;HR;3;;2;No;1
1952;47;CORE CONSULTING;2;Functional Experience;Supply Chain & Inventory Management;1;PROFICIENT;2;No;1
1953;47;CORE CONSULTING;2;Industry Vertical Experience;High Tech;1;MASTERY;2;No;1
1954;47;CORE CONSULTING;2;Industry Vertical Experience;Financial Services;3;;2;No;1
1955;47;CORE CONSULTING;2;Industry Vertical Experience;Internal;3;;2;No;1
1956;47;CORE CONSULTING;2;Industry Vertical Experience;Communications;3;;2;No;1
1957;47;CORE CONSULTING;2;Industry Vertical Experience;Retail;3;;2;No;1
1958;47;CORE CONSULTING;2;Industry Vertical Experience;Healthcare & Life Sciences;3;;2;No;1
1959;47;CORE CONSULTING;2;Industry Vertical Experience;Media & Entertainment;3;;2;No;1
1960;47;CORE CONSULTING;2;Industry Vertical Experience;Manufacturing;1;MASTERY;2;No;1
1961;47;CORE CONSULTING;2;Industry Vertical Experience;PubSec;3;;2;No;1
1962;47;CORE CONSULTING;2;Education;MBA;3;;2;Yes;1
1963;47;CORE CONSULTING;2;Education;MS IS / Masters of Science in Information Systems;3;;2;No;1
1964;47;CORE CONSULTING;2;Education;MS Data Science;3;;2;Yes;1
1965;47;CORE CONSULTING;2;Education;SAS Certificate in Business Analytics;3;;2;Yes;1
1966;47;DATA VISUALIZATION;1;Data Visualization tools;Pentaho;3;;2;No;1
1967;47;DATA VISUALIZATION;1;Data Visualization tools;Qlik Sense;3;;2;No;1
1968;47;DATA VISUALIZATION;1;Data Visualization tools;QlikView;3;;2;No;1
1969;47;DATA VISUALIZATION;1;Data Visualization tools;Tableau;1;PROFICIENT;2;No;1
